Name,IsBad,Gender,EyeColor,Race,HairColor,SkinColor,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat,Total
archangel,False,male,blue,mutant,blond,blue,183.0,68.0,63.0,13.0,58.0,64.0,28.0,42.0,268.0
arclight,True,female,violet,,purple,,173.0,57.0,38.0,63.0,23.0,42.0,52.0,70.0,288.0
ardina,False,female,white,alien,orange,gold,193.0,98.0,,,,,,,
ares,False,male,brown,,brown,,185.0,270.0,75.0,82.0,35.0,80.0,62.0,101.0,435.0
ariel,False,female,purple,,pink,,165.0,59.0,50.0,10.0,12.0,14.0,72.0,28.0,186.0
armor,False,female,black,,black,,163.0,50.0,50.0,63.0,12.0,80.0,55.0,54.0,314.0
atlas,False,male,brown,mutant,red,,183.0,101.0,50.0,80.0,23.0,99.0,69.0,42.0,363.0
aurora,False,female,blue,mutant,black,,180.0,63.0,50.0,15.0,83.0,56.0,69.0,56.0,329.0
azazel,True,male,yellow,neyaphem,black,red,183.0,67.0,50.0,11.0,47.0,95.0,87.0,80.0,370.0
banshee,False,male,green,human,strawberry blond,,183.0,77.0,50.0,10.0,58.0,42.0,60.0,70.0,290.0
bantam,False,male,brown,,black,,165.0,54.0,25.0,53.0,23.0,54.0,21.0,56.0,232.0
battlestar,False,male,brown,,black,,198.0,133.0,50.0,53.0,35.0,74.0,48.0,74.0,334.0
beak,False,male,black,,white,,175.0,63.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
beast,False,male,blue,mutant,blue,blue,180.0,181.0,88.0,48.0,35.0,56.0,35.0,84.0,346.0
beetle,True,male,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
beta ray bill,False,male,,,no hair,,201.0,216.0,63.0,80.0,35.0,95.0,100.0,84.0,457.0
beyonder,False,male,,god / eternal,,,,,88.0,100.0,23.0,100.0,100.0,56.0,467.0
big man,True,male,blue,,brown,,165.0,71.0,75.0,12.0,23.0,28.0,19.0,70.0,227.0
binary,False,female,blue,,blond,,180.0,54.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
bird-brain,False,,,,,,,,25.0,10.0,35.0,28.0,21.0,42.0,161.0
bird-man,True,male,,human,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
bird-man ii,True,male,,human,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
bishop,False,male,brown,mutant,no hair,,198.0,124.0,63.0,14.0,23.0,75.0,85.0,65.0,325.0
black abbott,True,male,red,,black,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
black bolt,False,male,blue,inhuman,black,,188.0,95.0,75.0,67.0,100.0,84.0,100.0,56.0,482.0
black cat,False,female,green,human,blond,,178.0,54.0,75.0,16.0,33.0,10.0,23.0,70.0,227.0
black goliath,False,male,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
black knight iii,False,male,brown,human,brown,,183.0,86.0,63.0,10.0,8.0,70.0,43.0,70.0,264.0
black mamba,True,female,green,,black,,170.0,52.0,75.0,10.0,35.0,42.0,78.0,65.0,305.0
black panther,False,male,brown,human,black,,183.0,90.0,88.0,16.0,30.0,60.0,41.0,100.0,335.0
black widow,False,female,green,human,auburn,,170.0,59.0,75.0,13.0,27.0,32.0,32.0,100.0,279.0
black widow ii,False,female,blue,,blond,,170.0,61.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
blackout,True,male,red,demon,white,white,191.0,104.0,63.0,32.0,45.0,80.0,38.0,65.0,323.0
blackwing,True,male,blue,,black,,185.0,86.0,38.0,10.0,35.0,32.0,20.0,56.0,191.0
blackwulf,True,male,red,alien,white,,188.0,88.0,50.0,28.0,8.0,30.0,59.0,25.0,200.0
blade,False,male,brown,vampire,black,,188.0,97.0,63.0,28.0,38.0,50.0,33.0,90.0,302.0
blaquesmith,False,,black,,no hair,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
bling!,False,female,,,,,168.0,68.0,69.0,14.0,12.0,90.0,52.0,28.0,265.0
blink,False,female,green,mutant,magenta,pink,165.0,56.0,50.0,8.0,20.0,28.0,55.0,64.0,225.0
blizzard,True,male,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
blizzard ii,True,male,brown,,brown,,175.0,77.0,38.0,10.0,27.0,42.0,47.0,56.0,220.0
blob,True,male,brown,,brown,,178.0,230.0,10.0,83.0,23.0,95.0,26.0,72.0,309.0
bloodaxe,True,female,blue,human,brown,,218.0,495.0,63.0,80.0,33.0,80.0,84.0,84.0,424.0
bloodhawk,False,male,black,mutant,no hair,,,,50.0,10.0,50.0,80.0,66.0,64.0,320.0
bloodwraith,True,male,white,,no hair,,30.5,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
bolt,False,male,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
boom-boom,False,female,blue,mutant,blond,,165.0,55.0,,,,,,,
boomer,False,female,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
box,False,male,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
box iii,False,,blue,,blond,,193.0,110.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
box iv,False,,brown,,brown / black,,,,50.0,75.0,23.0,28.0,11.0,56.0,243.0
brother voodoo,False,male,brown,human,brown / white,,183.0,99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
bullseye,True,male,blue,human,blond,,183.0,90.0,50.0,11.0,25.0,70.0,20.0,70.0,246.0
bumbleboy,False,male,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
cable,False,male,blue,mutant,white,,203.0,158.0,88.0,48.0,23.0,56.0,100.0,80.0,395.0
callisto,True,female,blue,,black,,175.0,74.0,63.0,53.0,23.0,42.0,45.0,85.0,311.0
cannonball,False,male,blue,,blond,,183.0,81.0,50.0,28.0,67.0,99.0,79.0,56.0,379.0
captain america,False,male,blue,human,blond,,188.0,108.0,63.0,19.0,35.0,56.0,46.0,100.0,319.0
captain britain,False,male,blue,human,blond,,198.0,116.0,75.0,77.0,50.0,60.0,31.0,80.0,373.0
captain mar-vell,False,male,blue,,blond,,188.0,108.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
captain marvel,False,female,blue,human-kree,blond,,180.0,74.0,100.0,100.0,67.0,95.0,62.0,56.0,480.0
captain planet,False,male,red,god / eternal,green,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
captain universe,False,,,god / eternal,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
carnage,True,male,green,symbiote,red,,185.0,86.0,63.0,63.0,70.0,84.0,81.0,90.0,451.0
cat,False,female,blue,,blond,,173.0,61.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
cat ii,False,female,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
cecilia reyes,False,,brown,,brown,,170.0,62.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
century,False,male,white,alien,white,grey,201.0,97.0,88.0,80.0,53.0,64.0,74.0,100.0,459.0
cerebra,False,female,,mutant,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
chamber,False,male,brown,mutant,brown,,175.0,63.0,50.0,10.0,20.0,80.0,57.0,64.0,281.0
changeling,True,male,brown,,black,,180.0,81.0,63.0,10.0,23.0,42.0,64.0,64.0,266.0
clea,False,,,,white,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
cloak,False,male,brown,,black,,226.0,70.0,63.0,10.0,47.0,64.0,74.0,56.0,314.0
colossus,False,male,silver,mutant,black,,226.0,225.0,63.0,83.0,33.0,100.0,46.0,80.0,405.0
copycat,False,female,red,mutant,white,blue,183.0,67.0,,,,,,,
corsair,False,male,brown,,brown,,191.0,79.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
cottonmouth,True,male,brown,human,black,,183.0,99.0,,,,,,,
crimson crusader,False,male,blue,,strawberry blond,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
crimson dynamo,False,male,brown,,no hair,,180.0,104.0,,,,,,,
crystal,False,female,green,inhuman,red,,168.0,50.0,63.0,16.0,12.0,14.0,57.0,56.0,218.0
cyclops,False,male,brown,mutant,brown,,191.0,88.0,75.0,10.0,23.0,42.0,76.0,80.0,306.0
cypher,False,,blue,,blond,,175.0,68.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
dagger,False,female,blue,,blond,,165.0,52.0,63.0,10.0,35.0,42.0,52.0,70.0,272.0
daredevil,False,male,blue,human,red,,183.0,90.0,75.0,13.0,27.0,28.0,57.0,95.0,295.0
darkhawk,False,male,brown,human,brown,,185.0,81.0,50.0,32.0,33.0,70.0,74.0,64.0,323.0
darkstar,False,female,brown,mutant,blond,,168.0,56.0,38.0,8.0,35.0,42.0,52.0,64.0,239.0
dazzler,False,female,blue,mutant,blond,,173.0,52.0,63.0,10.0,35.0,42.0,64.0,56.0,270.0
deadpool,False,male,brown,mutant,no hair,,188.0,95.0,50.0,15.0,30.0,100.0,100.0,100.0,395.0
deathlok,False,male,brown,cyborg,grey,,193.0,178.0,69.0,32.0,30.0,70.0,40.0,60.0,301.0
demogoblin,True,male,red,demon,no hair,,185.0,95.0,50.0,48.0,42.0,35.0,54.0,60.0,289.0
destroyer,True,male,,,,,188.0,383.0,50.0,95.0,58.0,98.0,90.0,70.0,461.0
diamondback,True,male,brown,human,black,,193.0,90.0,,,,,,,
doc samson,False,male,blue,human / radiation,green,,198.0,171.0,75.0,80.0,33.0,80.0,36.0,70.0,374.0
doctor doom,True,male,brown,human,brown,,201.0,187.0,100.0,32.0,20.0,100.0,93.0,84.0,429.0
doctor doom ii,True,male,brown,,brown,,201.0,132.0,1.0,32.0,1.0,1.0,0.0,1.0,36.0
doctor octopus,True,male,brown,human,brown,,175.0,110.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
doctor strange,False,male,grey,human,black,,188.0,81.0,100.0,10.0,12.0,84.0,100.0,60.0,366.0
domino,False,female,blue,human,black,white,173.0,54.0,63.0,10.0,27.0,28.0,49.0,74.0,251.0
doppelganger,True,male,white,,no hair,,196.0,104.0,8.0,63.0,60.0,95.0,62.0,84.0,372.0
dormammu,True,male,yellow,,no hair,,185.0,,88.0,95.0,83.0,100.0,100.0,80.0,546.0
drax the destroyer,False,male,red,human / altered,no hair,green,193.0,306.0,,,,,,,
ego,True,,,,,,,,88.0,80.0,83.0,99.0,71.0,28.0,449.0
electro,True,male,blue,human,auburn,,180.0,74.0,69.0,10.0,50.0,56.0,67.0,64.0,316.0
elektra,False,female,blue,human,black,,175.0,59.0,63.0,11.0,30.0,28.0,59.0,100.0,291.0
emma frost,False,female,blue,,blond,,178.0,65.0,75.0,63.0,35.0,90.0,82.0,42.0,387.0
evil deadpool,True,male,white,mutant,red,,188.0,95.0,,,,,,,
evilhawk,True,male,red,alien,black,green,191.0,106.0,50.0,32.0,33.0,70.0,78.0,64.0,327.0
exodus,True,male,blue,mutant,black,red,183.0,88.0,63.0,81.0,28.0,28.0,100.0,70.0,370.0
fabian cortez,True,,blue,,brown,,196.0,96.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
falcon,False,male,brown,human,black,,188.0,108.0,38.0,13.0,50.0,28.0,22.0,64.0,215.0
fallen one ii,True,male,black,,blue,,,,88.0,85.0,83.0,100.0,100.0,56.0,512.0
feral,False,,yellow (without irises),,orange / white,,175.0,50.0,38.0,28.0,45.0,28.0,20.0,70.0,229.0
fin fang foom,False,male,red,kakarantharaian,no hair,green,975.0,18.0,50.0,81.0,23.0,100.0,68.0,70.0,392.0
firebird,False,female,brown,,black,,165.0,56.0,38.0,8.0,40.0,14.0,90.0,42.0,232.0
firelord,False,,white,,yellow,,193.0,99.0,38.0,63.0,75.0,90.0,48.0,28.0,342.0
firestar,False,female,green,mutant,red,,173.0,56.0,50.0,8.0,54.0,55.0,71.0,32.0,270.0
fixer,True,,red,,no hair,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
forge,False,,brown,,black,,183.0,81.0,63.0,10.0,12.0,28.0,12.0,48.0,173.0
franklin richards,False,male,blue,mutant,blond,,142.0,45.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
franklin storm,False,,blue,,grey,,188.0,92.0,38.0,10.0,1.0,1.0,0.0,10.0,60.0
frenzy,True,female,brown,,black,,211.0,104.0,63.0,53.0,35.0,100.0,38.0,52.0,341.0
frigga,False,female,blue,,white,,180.0,167.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
galactus,False,male,black,cosmic entity,black,,876.0,16.0,100.0,100.0,83.0,100.0,100.0,70.0,553.0
gambit,False,male,red,mutant,brown,,185.0,81.0,63.0,10.0,23.0,28.0,55.0,84.0,263.0
gamora,False,female,yellow,zen-whoberian,black,green,183.0,77.0,,,,,,,
genesis,False,male,blue,,blond,,185.0,86.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
ghost rider,False,male,red,demon,no hair,,188.0,99.0,50.0,55.0,25.0,100.0,70.0,60.0,360.0
ghost rider ii,False,,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
giant-man,False,male,,human,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
giant-man ii,False,male,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
gladiator,False,male,blue,strontian,blue,purple,198.0,268.0,,,,,,,
goblin queen,True,female,green,,red,,168.0,50.0,75.0,10.0,23.0,28.0,65.0,56.0,257.0
goliath,False,male,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
goliath iv,False,male,brown,,black,,183.0,90.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
gravity,False,male,blue,human,brown,,178.0,79.0,50.0,32.0,33.0,40.0,72.0,30.0,257.0
green goblin,True,male,blue,human,auburn,,180.0,83.0,75.0,48.0,35.0,48.0,38.0,28.0,272.0
green goblin ii,True,male,blue,,auburn,,178.0,77.0,75.0,55.0,37.0,50.0,38.0,26.0,281.0
green goblin iii,False,male,,,,,183.0,88.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
green goblin iv,False,male,green,,brown,,178.0,79.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
groot,False,male,yellow,flora colossus,,,701.0,4.0,75.0,85.0,33.0,70.0,92.0,64.0,419.0
guardian,False,male,brown,human,black,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
havok,False,male,blue,mutant,blond,,183.0,79.0,63.0,10.0,25.0,60.0,71.0,45.0,274.0
hawkeye,False,male,blue,human,blond,,191.0,104.0,50.0,12.0,23.0,14.0,26.0,80.0,205.0
hawkeye ii,False,female,blue,human,black,,165.0,57.0,50.0,6.0,8.0,10.0,24.0,50.0,148.0
hela,True,female,green,asgardian,black,,213.0,225.0,,,,,,,
hellcat,False,female,blue,human,red,,173.0,61.0,50.0,10.0,23.0,42.0,18.0,70.0,213.0
hellstorm,False,male,red,,red,,185.0,81.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
hercules,False,male,blue,demi-god,brown,,196.0,146.0,63.0,100.0,46.0,85.0,67.0,100.0,461.0
hobgoblin,True,male,blue,,grey,,180.0,83.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
hollow,False,female,blue,,red,,170.0,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
hope summers,False,female,green,,red,,168.0,48.0,63.0,10.0,12.0,32.0,89.0,75.0,281.0
howard the duck,False,male,brown,,yellow,,79.0,18.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
hulk,False,male,green,human / radiation,green,green,244.0,630.0,88.0,100.0,47.0,100.0,41.0,85.0,461.0
human torch,False,male,blue,human / radiation,blond,,178.0,77.0,56.0,10.0,63.0,70.0,74.0,42.0,315.0
husk,False,female,blue,mutant,blond,,170.0,58.0,63.0,63.0,35.0,78.0,53.0,64.0,356.0
hybrid,False,male,brown,symbiote,black,,175.0,77.0,,,,,,,
hydro-man,True,male,brown,,brown,,188.0,119.0,38.0,13.0,25.0,80.0,66.0,50.0,272.0
hyperion,False,male,blue,eternal,red,,183.0,207.0,63.0,95.0,75.0,95.0,58.0,72.0,458.0
iceman,False,male,brown,mutant,brown,,173.0,65.0,63.0,32.0,53.0,100.0,100.0,64.0,412.0
ink,False,male,blue,mutant,no hair,,180.0,81.0,38.0,28.0,17.0,40.0,66.0,50.0,239.0
invisible woman,False,female,blue,human / radiation,blond,,168.0,54.0,69.0,10.0,27.0,70.0,74.0,56.0,306.0
iron fist,False,male,blue,human,blond,,180.0,79.0,75.0,23.0,35.0,42.0,43.0,100.0,318.0
iron man,False,male,blue,human,black,,198.0,191.0,100.0,85.0,58.0,85.0,100.0,64.0,492.0
iron monger,True,male,blue,,no hair,,,2.0,88.0,63.0,25.0,90.0,57.0,56.0,379.0
jack of hearts,False,male,blue / white,human,brown,,155.0,79.0,63.0,55.0,100.0,30.0,70.0,30.0,348.0
jean grey,False,female,green,mutant,red,,168.0,52.0,100.0,80.0,67.0,100.0,100.0,70.0,517.0
jennifer kale,False,female,blue,,blond,,168.0,55.0,75.0,10.0,35.0,42.0,61.0,72.0,295.0
jessica jones,False,female,brown,human,brown,,170.0,56.0,,,,,,,
jigsaw,True,male,blue,,black,,188.0,113.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
john wraith,False,male,brown,,black,,183.0,88.0,75.0,12.0,35.0,28.0,65.0,80.0,295.0
jolt,False,female,blue,,black,,165.0,49.0,63.0,12.0,27.0,32.0,31.0,42.0,207.0
jubilee,False,female,red,mutant,black,,165.0,52.0,56.0,8.0,22.0,20.0,66.0,90.0,262.0
juggernaut,False,male,blue,human,red,,287.0,855.0,44.0,100.0,42.0,100.0,74.0,70.0,430.0
junkpile,True,male,,mutant,,,,,50.0,38.0,17.0,90.0,71.0,30.0,296.0
justice,False,male,hazel,human,brown,,178.0,81.0,50.0,10.0,33.0,70.0,55.0,30.0,248.0
kang,True,male,brown,,brown,,191.0,104.0,100.0,48.0,58.0,70.0,71.0,70.0,417.0
kingpin,True,male,blue,human,no hair,,201.0,203.0,75.0,18.0,25.0,40.0,13.0,70.0,241.0
klaw,True,male,red,human,no hair,red,188.0,97.0,63.0,38.0,33.0,100.0,62.0,60.0,356.0
kraven ii,True,male,brown,human,black,,191.0,99.0,50.0,34.0,23.0,28.0,36.0,85.0,256.0
kraven the hunter,True,male,brown,human,black,,183.0,106.0,63.0,32.0,35.0,42.0,26.0,85.0,283.0
lady bullseye,True,female,,,black,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
lady deathstrike,True,female,brown,cyborg,black,,175.0,58.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
leader,True,male,green,,no hair,,178.0,63.0,100.0,10.0,12.0,14.0,58.0,42.0,236.0
leech,False,male,,,,,,,25.0,5.0,12.0,14.0,62.0,14.0,132.0
legion,False,male,green / blue,mutant,black,,175.0,59.0,,,,,,,
living brain,True,,yellow,,,,198.0,360.0,75.0,53.0,35.0,56.0,31.0,28.0,278.0
living tribunal,False,,blue,cosmic entity,no hair,gold,,,,,,,,,
lizard,True,male,red,human,no hair,,203.0,230.0,38.0,51.0,27.0,70.0,40.0,56.0,282.0
loki,True,male,green,asgardian,black,,193.0,236.0,88.0,57.0,47.0,85.0,85.0,56.0,418.0
longshot,False,male,blue,human,blond,,188.0,36.0,50.0,10.0,27.0,10.0,71.0,70.0,238.0
luke cage,False,male,brown,human,black,,198.0,191.0,44.0,55.0,23.0,95.0,35.0,64.0,316.0
luna,False,female,,human,,,,,38.0,6.0,83.0,14.0,53.0,14.0,208.0
lyja,False,female,green,,green,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
mach-iv,True,male,brown,,brown,,180.0,79.0,75.0,36.0,60.0,84.0,60.0,56.0,371.0
machine man,False,,red,,black,,183.0,383.0,63.0,32.0,35.0,84.0,51.0,64.0,329.0
magneto,True,male,grey,mutant,white,,188.0,86.0,88.0,80.0,27.0,84.0,91.0,80.0,450.0
magus,True,male,black,,,,183.0,,88.0,100.0,70.0,99.0,100.0,74.0,531.0
man-thing,False,male,red,,no hair,green,213.0,225.0,50.0,32.0,8.0,100.0,98.0,40.0,328.0
man-wolf,False,male,brown,,auburn,,188.0,90.0,63.0,44.0,35.0,42.0,38.0,70.0,292.0
mandarin,True,male,blue,human,white,,188.0,97.0,100.0,28.0,23.0,28.0,99.0,95.0,373.0
mantis,False,female,green,human-kree,black,green,168.0,52.0,,,,,,,
marvel girl,False,female,green,,red,,170.0,56.0,63.0,85.0,47.0,42.0,100.0,80.0,417.0
maverick,False,male,blue,,black,,193.0,110.0,63.0,10.0,12.0,42.0,60.0,85.0,272.0
medusa,False,female,green,inhuman,red,,180.0,59.0,75.0,34.0,35.0,70.0,35.0,56.0,305.0
meltdown,False,female,blue,,blond,,165.0,54.0,38.0,10.0,12.0,42.0,58.0,64.0,224.0
mephisto,True,male,white,,black,,198.0,140.0,88.0,85.0,35.0,95.0,100.0,42.0,445.0
meteorite,False,female,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
mimic,False,male,brown,,brown,,188.0,101.0,63.0,67.0,47.0,56.0,79.0,42.0,354.0
mister fantastic,False,male,brown,human / radiation,brown,,185.0,81.0,100.0,10.0,18.0,70.0,32.0,64.0,294.0
mister knife,True,male,blue,spartoi,brown,,,,,,,,,,
mister sinister,True,male,red,human / altered,black,,196.0,128.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
mockingbird,False,female,blue,human,blond,,175.0,61.0,,,,,,,
modok,True,male,white,cyborg,brownn,,366.0,338.0,,,,,,,
molten man,True,male,gold,,gold,,196.0,248.0,50.0,73.0,23.0,84.0,53.0,56.0,339.0
moon knight,False,male,brown,human,brown,,188.0,101.0,50.0,36.0,23.0,42.0,28.0,75.0,254.0
moonstone,True,female,blue,,blond,,180.0,59.0,56.0,67.0,47.0,52.0,79.0,80.0,381.0
morlun,True,male,white / red,,black,,188.0,79.0,63.0,60.0,35.0,42.0,59.0,56.0,315.0
morph,False,male,white,,no hair,,178.0,79.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
moses magnum,True,male,brown,,black,,175.0,72.0,75.0,28.0,12.0,42.0,55.0,56.0,268.0
mr immortal,False,male,blue,mutant,blond,,188.0,70.0,,,,,,,
ms marvel ii,False,female,blue,,red,,173.0,61.0,38.0,63.0,23.0,84.0,11.0,56.0,275.0
multiple man,False,male,blue,,brown,,180.0,70.0,63.0,11.0,23.0,70.0,28.0,62.0,257.0
mysterio,True,male,brown,human,no hair,,180.0,79.0,,,,,,,
mystique,True,female,yellow (without irises),mutant,red / orange,blue,178.0,54.0,75.0,12.0,23.0,64.0,58.0,74.0,306.0
namor,False,male,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
namora,False,female,blue,,blond,,180.0,85.0,50.0,85.0,42.0,42.0,41.0,64.0,324.0
namorita,False,female,blue,,blond,,168.0,101.0,50.0,72.0,47.0,70.0,30.0,70.0,339.0
nebula,True,female,blue,luphomoid,no hair,blue,185.0,83.0,,,,,,,
negasonic teenage warhead,False,female,black,mutant,black,,,,,,,,,,
nick fury,False,male,brown,human,brown / white,,185.0,99.0,75.0,11.0,23.0,42.0,25.0,100.0,276.0
nightcrawler,False,male,yellow,,indigo,,175.0,88.0,50.0,10.0,47.0,14.0,52.0,80.0,253.0
northstar,False,male,blue,,black,,180.0,83.0,50.0,18.0,83.0,56.0,70.0,70.0,347.0
nova,False,male,brown,human,brown,,185.0,86.0,100.0,85.0,67.0,101.0,100.0,85.0,538.0
odin,False,male,blue,god / eternal,white,,206.0,293.0,,,,,,,
omega red,True,male,red,,blond,,211.0,191.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
one-above-all,False,,,cosmic entity,,,,,,,,,,,
onslaught,True,male,red,mutant,no hair,,305.0,405.0,88.0,85.0,47.0,100.0,100.0,85.0,505.0
penance,False,,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
penance i,False,female,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
penance ii,False,male,blue,,blond,,183.0,89.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
phoenix,False,female,green,mutant,red,,168.0,52.0,100.0,80.0,67.0,100.0,100.0,70.0,517.0
plantman,True,male,green,mutant,grey,,183.0,87.0,,,,,,,
polaris,False,female,green,mutant,green,,170.0,52.0,,,,,,,
power man,False,male,,mutant,,,,,1.0,1.0,1.0,1.0,0.0,1.0,5.0
professor x,False,male,blue,mutant,no hair,,183.0,86.0,100.0,8.0,12.0,14.0,90.0,32.0,256.0
proto-goblin,True,male,green,,blond,,,,63.0,38.0,23.0,48.0,22.0,28.0,222.0
psylocke,False,female,blue,mutant,purple,,180.0,70.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
punisher,False,male,blue,human,black,,183.0,90.0,50.0,16.0,23.0,28.0,22.0,100.0,239.0
purple man,True,male,purple,human,purple,purple,180.0,74.0,,,,,,,
pyro,True,male,blue,,blond,,178.0,68.0,38.0,10.0,12.0,14.0,50.0,28.0,152.0
quicksilver,False,male,blue,mutant,silver,,183.0,79.0,63.0,28.0,100.0,60.0,57.0,56.0,364.0
quill,False,male,brown,,brown,,163.0,56.0,38.0,10.0,12.0,14.0,23.0,14.0,111.0
razor-fist ii,True,male,blue,,no hair,,191.0,117.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
red hulk,False,male,yellow,human / radiation,black,red,213.0,630.0,50.0,88.0,47.0,95.0,59.0,75.0,414.0
red skull,True,male,blue,,no hair,,188.0,108.0,75.0,10.0,12.0,14.0,19.0,80.0,210.0
rhino,True,male,brown,human / radiation,brown,,196.0,320.0,25.0,80.0,43.0,90.0,37.0,85.0,360.0
ripcord,False,female,green,,black,,180.0,72.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
