Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat,Total
Allan Quatermain,0,Male,-,-,-,Wildstorm,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Amazo,1,Male,red,Android,-,DC Comics,-,257.0,173.0,75.0,100.0,100.0,100.0,100.0,100.0,575.0
Ammo,1,Male,brown,Human,Black,Marvel Comics,-,188.0,101.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Ando Masahashi,0,Male,-,-,-,NBC - Heroes,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Angel,0,Male,blue,-,Blond,Marvel Comics,-,183.0,68.0,63.0,13.0,46.0,64.0,17.0,42.0,245.0
Angel Dust,0,Female,yellow,Mutant,Black,Marvel Comics,-,165.0,57.0,,,,,,,
Angel Salvadore,0,Female,brown,-,Black,Marvel Comics,-,163.0,54.0,38.0,10.0,28.0,28.0,46.0,60.0,210.0
Angela,1,Female,-,-,-,Image Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Animal Man,0,Male,blue,Human,Blond,DC Comics,-,183.0,83.0,56.0,48.0,47.0,85.0,73.0,80.0,389.0
Annihilus,1,Male,green,-,No Hair,Marvel Comics,-,180.0,90.0,75.0,80.0,47.0,56.0,59.0,64.0,381.0
Ant-Man,0,Male,blue,Human,Blond,Marvel Comics,-,211.0,122.0,100.0,10.0,23.0,28.0,32.0,32.0,225.0
Ant-Man II,0,Male,blue,Human,Blond,Marvel Comics,-,183.0,86.0,63.0,10.0,23.0,28.0,32.0,28.0,184.0
Anti-Monitor,1,Male,yellow,God / Eternal,No Hair,DC Comics,-,61.0,-99.0,88.0,90.0,38.0,90.0,100.0,90.0,496.0
Anti-Spawn,1,Male,-,-,-,Image Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Anti-Venom,0,Male,blue,Symbiote,Blond,Marvel Comics,-,229.0,358.0,75.0,60.0,65.0,90.0,85.0,84.0,459.0
Apocalypse,1,Male,red,Mutant,Black,Marvel Comics,grey,213.0,135.0,100.0,100.0,33.0,100.0,100.0,60.0,493.0
Aquababy,0,Male,blue,-,Blond,DC Comics,-,-99.0,-99.0,10.0,16.0,12.0,14.0,37.0,14.0,103.0
Aqualad,0,Male,blue,Atlantean,Black,DC Comics,-,178.0,106.0,63.0,44.0,42.0,75.0,76.0,60.0,360.0
Aquaman,0,Male,blue,Atlantean,Blond,DC Comics,-,185.0,146.0,63.0,80.0,50.0,80.0,65.0,80.0,418.0
Arachne,0,Female,blue,Human,Blond,Marvel Comics,-,175.0,63.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Archangel,0,Male,blue,Mutant,Blond,Marvel Comics,blue,183.0,68.0,63.0,13.0,58.0,64.0,28.0,42.0,268.0
Arclight,1,Female,violet,-,Purple,Marvel Comics,-,173.0,57.0,38.0,63.0,23.0,42.0,52.0,70.0,288.0
Ardina,0,Female,white,Alien,Orange,Marvel Comics,gold,193.0,98.0,,,,,,,
Ares,0,Male,brown,-,Brown,Marvel Comics,-,185.0,270.0,75.0,82.0,35.0,80.0,62.0,101.0,435.0
Ariel,0,Female,purple,-,Pink,Marvel Comics,-,165.0,59.0,50.0,10.0,12.0,14.0,72.0,28.0,186.0
Armor,0,Female,black,-,Black,Marvel Comics,-,163.0,50.0,50.0,63.0,12.0,80.0,55.0,54.0,314.0
Arsenal,0,Male,-,Human,-,DC Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Astro Boy,0,Male,brown,-,Black,,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Atlas,0,Male,brown,Mutant,Red,Marvel Comics,-,183.0,101.0,50.0,80.0,23.0,99.0,69.0,42.0,363.0
Atom,0,Male,blue,-,Red,DC Comics,-,178.0,68.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Atom Girl,0,Female,black,-,Black,DC Comics,-,168.0,54.0,38.0,10.0,23.0,28.0,38.0,42.0,179.0
Atom II,0,Male,brown,Human,Auburn,DC Comics,-,183.0,81.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Atom III,0,Male,-,-,Red,DC Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Atom IV,0,Male,brown,-,Black,DC Comics,-,-99.0,72.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Aurora,0,Female,blue,Mutant,Black,Marvel Comics,-,180.0,63.0,50.0,15.0,83.0,56.0,69.0,56.0,329.0
Azazel,1,Male,yellow,Neyaphem,Black,Marvel Comics,red,183.0,67.0,50.0,11.0,47.0,95.0,87.0,80.0,370.0
Azrael,0,Male,brown,Human,Black,DC Comics,-,-99.0,-99.0,63.0,18.0,17.0,20.0,35.0,80.0,233.0
Aztar,0,Male,-,-,-,DC Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Bane,1,Male,-,Human,-,DC Comics,-,203.0,180.0,88.0,53.0,23.0,56.0,51.0,95.0,366.0
Banshee,0,Male,green,Human,Strawberry Blond,Marvel Comics,-,183.0,77.0,50.0,10.0,58.0,42.0,60.0,70.0,290.0
Bantam,0,Male,brown,-,Black,Marvel Comics,-,165.0,54.0,25.0,53.0,23.0,54.0,21.0,56.0,232.0
Batgirl,0,Female,-,-,-,DC Comics,-,-99.0,-99.0,,,,,,,
Batgirl III,0,Female,-,-,-,DC Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Batgirl IV,0,Female,green,Human,Black,DC Comics,-,165.0,52.0,69.0,12.0,27.0,56.0,42.0,100.0,306.0
Batgirl V,0,Female,-,-,-,DC Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Batgirl VI,0,Female,blue,-,Blond,DC Comics,-,168.0,61.0,75.0,10.0,23.0,28.0,22.0,80.0,238.0
Batman,0,Male,blue,Human,black,DC Comics,-,188.0,95.0,100.0,18.0,27.0,42.0,37.0,100.0,324.0
Batman II,0,Male,blue,Human,Black,DC Comics,-,178.0,79.0,88.0,11.0,33.0,28.0,36.0,100.0,296.0
Battlestar,0,Male,brown,-,Black,Marvel Comics,-,198.0,133.0,50.0,53.0,35.0,74.0,48.0,74.0,334.0
Batwoman V,0,Female,green,Human,Red,DC Comics,-,178.0,-99.0,,,,,,,
Beak,0,Male,black,-,White,Marvel Comics,-,175.0,63.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Beast,0,Male,blue,Mutant,Blue,Marvel Comics,blue,180.0,181.0,88.0,48.0,35.0,56.0,35.0,84.0,346.0
Beast Boy,0,Male,green,Human,Green,DC Comics,green,173.0,68.0,50.0,28.0,50.0,70.0,79.0,40.0,317.0
Beetle,1,Male,-,-,-,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Ben 10,0,Male,-,-,-,DC Comics,-,-99.0,-99.0,10.0,7.0,8.0,10.0,90.0,40.0,165.0
Beta Ray Bill,0,Male,-,-,No Hair,Marvel Comics,-,201.0,216.0,63.0,80.0,35.0,95.0,100.0,84.0,457.0
Beyonder,0,Male,-,God / Eternal,-,Marvel Comics,-,-99.0,-99.0,88.0,100.0,23.0,100.0,100.0,56.0,467.0
Big Barda,1,Female,blue,New God,Black,DC Comics,-,188.0,135.0,63.0,90.0,23.0,85.0,42.0,72.0,375.0
Big Daddy,0,Male,-,-,-,Icon Comics,-,-99.0,-99.0,38.0,10.0,12.0,32.0,22.0,64.0,178.0
Big Man,1,Male,blue,-,Brown,Marvel Comics,-,165.0,71.0,75.0,12.0,23.0,28.0,19.0,70.0,227.0
Bill Harken,0,Male,-,Alpha,-,SyFy,-,-99.0,-99.0,63.0,36.0,33.0,60.0,23.0,40.0,255.0
Billy Kincaid,1,Male,-,-,-,Image Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Binary,0,Female,blue,-,Blond,Marvel Comics,-,180.0,54.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Bionic Woman,0,Female,blue,Cyborg,Black,,-,-99.0,-99.0,,,,,,,
Bird-Brain,0,-,-,-,-,Marvel Comics,-,-99.0,-99.0,25.0,10.0,35.0,28.0,21.0,42.0,161.0
Bird-Man,1,Male,-,Human,-,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Bird-Man II,1,Male,-,Human,-,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Birdman,0,Male,-,God / Eternal,-,Hanna-Barbera,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Bishop,0,Male,brown,Mutant,No Hair,Marvel Comics,-,198.0,124.0,63.0,14.0,23.0,75.0,85.0,65.0,325.0
Bizarro,0,Male,black,Bizarro,Black,DC Comics,white,191.0,155.0,75.0,95.0,100.0,100.0,95.0,85.0,550.0
Black Abbott,1,Male,red,-,Black,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Black Adam,1,Male,brown,-,Black,DC Comics,-,191.0,113.0,88.0,100.0,92.0,100.0,89.0,56.0,525.0
Black Bolt,0,Male,blue,Inhuman,Black,Marvel Comics,-,188.0,95.0,75.0,67.0,100.0,84.0,100.0,56.0,482.0
Black Canary,0,Female,blue,Human,Blond,DC Comics,-,165.0,58.0,,,,,,,
Black Cat,0,Female,green,Human,Blond,Marvel Comics,-,178.0,54.0,75.0,16.0,33.0,10.0,23.0,70.0,227.0
Black Flash,0,Male,-,God / Eternal,-,DC Comics,-,-99.0,-99.0,,,,,,,
Black Goliath,0,Male,-,-,-,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Black Knight III,0,Male,brown,Human,Brown,Marvel Comics,-,183.0,86.0,63.0,10.0,8.0,70.0,43.0,70.0,264.0
Black Lightning,0,Male,brown,-,No Hair,DC Comics,-,185.0,90.0,50.0,11.0,53.0,28.0,70.0,75.0,287.0
Black Mamba,1,Female,green,-,Black,Marvel Comics,-,170.0,52.0,75.0,10.0,35.0,42.0,78.0,65.0,305.0
Black Manta,1,Male,black,Human,No Hair,DC Comics,-,188.0,92.0,,,,,,,
Black Panther,0,Male,brown,Human,Black,Marvel Comics,-,183.0,90.0,88.0,16.0,30.0,60.0,41.0,100.0,335.0
Black Widow,0,Female,green,Human,Auburn,Marvel Comics,-,170.0,59.0,75.0,13.0,27.0,32.0,32.0,100.0,279.0
Black Widow II,0,Female,blue,-,Blond,Marvel Comics,-,170.0,61.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Blackout,1,Male,red,Demon,White,Marvel Comics,white,191.0,104.0,63.0,32.0,45.0,80.0,38.0,65.0,323.0
Blackwing,1,Male,blue,-,Black,Marvel Comics,-,185.0,86.0,38.0,10.0,35.0,32.0,20.0,56.0,191.0
Blackwulf,0,Male,red,Alien,White,Marvel Comics,-,188.0,88.0,50.0,28.0,8.0,30.0,59.0,25.0,200.0
Blade,0,Male,brown,Vampire,Black,Marvel Comics,-,188.0,97.0,63.0,28.0,38.0,50.0,33.0,90.0,302.0
Blaquesmith,0,-,black,-,No Hair,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Bling!,0,Female,-,-,-,Marvel Comics,-,168.0,68.0,69.0,14.0,12.0,90.0,52.0,28.0,265.0
Blink,0,Female,green,Mutant,Magenta,Marvel Comics,pink,165.0,56.0,50.0,8.0,20.0,28.0,55.0,64.0,225.0
Blizzard,1,Male,-,-,-,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Blizzard II,1,Male,brown,-,Brown,Marvel Comics,-,175.0,77.0,38.0,10.0,27.0,42.0,47.0,56.0,220.0
Blob,1,Male,brown,-,Brown,Marvel Comics,-,178.0,230.0,10.0,83.0,23.0,95.0,26.0,72.0,309.0
Bloodaxe,1,Female,blue,Human,Brown,Marvel Comics,-,218.0,495.0,63.0,80.0,33.0,80.0,84.0,84.0,424.0
Bloodhawk,0,Male,black,Mutant,No Hair,Marvel Comics,-,-99.0,-99.0,50.0,10.0,50.0,80.0,66.0,64.0,320.0
Bloodwraith,1,Male,white,-,No Hair,Marvel Comics,-,30.5,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Blue Beetle,0,Male,blue,-,Brown,DC Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Blue Beetle II,0,Male,blue,-,Brown,DC Comics,-,183.0,86.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Blue Beetle III,0,Male,brown,Human,Black,DC Comics,-,-99.0,-99.0,50.0,34.0,58.0,80.0,97.0,30.0,349.0
Boba Fett,1,Male,brown,Human / Clone,Black,George Lucas,-,183.0,-99.0,,,,,,,
Bolt,0,Male,-,-,-,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Bomb Queen,1,Female,-,-,-,Image Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Boom-Boom,0,Female,blue,Mutant,Blond,Marvel Comics,-,165.0,55.0,,,,,,,
Boomer,0,Female,-,-,-,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Booster Gold,0,Male,blue,Human,Blond,DC Comics,-,196.0,97.0,56.0,85.0,53.0,50.0,72.0,40.0,356.0
Box,0,Male,-,-,-,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Box III,0,-,blue,-,Blond,Marvel Comics,-,193.0,110.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Box IV,0,-,brown,-,Brown / Black,Marvel Comics,-,-99.0,-99.0,50.0,75.0,23.0,28.0,11.0,56.0,243.0
Brainiac,1,Male,green,Android,No Hair,DC Comics,green,198.0,135.0,100.0,28.0,63.0,90.0,60.0,75.0,416.0
Brainiac 5,0,Male,green,-,Blond,DC Comics,-,170.0,61.0,100.0,10.0,23.0,28.0,60.0,32.0,253.0
Brother Voodoo,0,Male,brown,Human,Brown / White,Marvel Comics,-,183.0,99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Brundlefly,0,Male,-,Mutant,-,,-,193.0,-99.0,,,,,,,
Buffy,0,Female,green,Human,Blond,Dark Horse Comics,-,157.0,52.0,,,,,,,
Bullseye,1,Male,blue,Human,blond,Marvel Comics,-,183.0,90.0,50.0,11.0,25.0,70.0,20.0,70.0,246.0
Bumblebee,0,Female,brown,Human,Black,DC Comics,-,170.0,59.0,63.0,28.0,25.0,10.0,45.0,35.0,206.0
Bumbleboy,0,Male,-,-,-,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Bushido,0,Male,-,Human,-,DC Comics,-,-99.0,-99.0,38.0,10.0,8.0,10.0,19.0,70.0,155.0
Cable,0,Male,blue,Mutant,White,Marvel Comics,-,203.0,158.0,88.0,48.0,23.0,56.0,100.0,80.0,395.0
Callisto,1,Female,blue,-,Black,Marvel Comics,-,175.0,74.0,63.0,53.0,23.0,42.0,45.0,85.0,311.0
Cameron Hicks,0,Male,-,Alpha,-,SyFy,-,-99.0,-99.0,50.0,10.0,23.0,28.0,51.0,70.0,232.0
Cannonball,0,Male,blue,-,Blond,Marvel Comics,-,183.0,81.0,50.0,28.0,67.0,99.0,79.0,56.0,379.0
Captain America,0,Male,blue,Human,blond,Marvel Comics,-,188.0,108.0,63.0,19.0,35.0,56.0,46.0,100.0,319.0
Captain Atom,0,Male,blue,Human / Radiation,Silver,DC Comics,silver,193.0,90.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Captain Britain,0,Male,blue,Human,Blond,Marvel Comics,-,198.0,116.0,75.0,77.0,50.0,60.0,31.0,80.0,373.0
Captain Cold,0,Male,brown,Human,Brown,DC Comics,-,-99.0,-99.0,,,,,,,
Captain Epic,0,Male,blue,-,Brown,Team Epic TV,-,188.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Captain Hindsight,0,Male,-,Human,Black,South Park,-,-99.0,-99.0,,,,,,,
Captain Mar-vell,0,Male,blue,-,Blond,Marvel Comics,-,188.0,108.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Captain Marvel,0,Female,blue,Human-Kree,Blond,Marvel Comics,-,180.0,74.0,100.0,100.0,67.0,95.0,62.0,56.0,480.0
Captain Marvel II,0,Male,blue,Human,Black,DC Comics,-,175.0,74.0,75.0,81.0,27.0,90.0,34.0,56.0,363.0
Captain Midnight,0,Male,-,Human,-,Dark Horse Comics,-,-99.0,-99.0,,,,,,,
Captain Planet,0,Male,red,God / Eternal,Green,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Captain Universe,0,-,-,God / Eternal,-,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Carnage,1,Male,green,Symbiote,Red,Marvel Comics,-,185.0,86.0,63.0,63.0,70.0,84.0,81.0,90.0,451.0
Cat,0,Female,blue,-,Blond,Marvel Comics,-,173.0,61.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Cat II,0,Female,-,-,-,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Catwoman,0,Female,green,Human,Black,DC Comics,-,175.0,61.0,63.0,13.0,33.0,28.0,24.0,85.0,246.0
Cecilia Reyes,0,-,brown,-,Brown,Marvel Comics,-,170.0,62.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Century,0,Male,white,Alien,White,Marvel Comics,grey,201.0,97.0,88.0,80.0,53.0,64.0,74.0,100.0,459.0
Cerebra,0,Female,-,Mutant,-,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Chamber,0,Male,brown,Mutant,Brown,Marvel Comics,-,175.0,63.0,50.0,10.0,20.0,80.0,57.0,64.0,281.0
Chameleon,1,Male,-,-,-,DC Comics,-,-99.0,-99.0,88.0,10.0,12.0,28.0,28.0,28.0,194.0
Changeling,1,Male,brown,-,Black,Marvel Comics,-,180.0,81.0,63.0,10.0,23.0,42.0,64.0,64.0,266.0
Cheetah,1,Female,green,Human,Blond,DC Comics,-,163.0,50.0,,,,,,,
Cheetah II,1,Female,green,Human,Brown,DC Comics,-,170.0,55.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Cheetah III,1,Female,brown,Human,Brown,DC Comics,-,175.0,54.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Chromos,1,Male,brown,-,Red / Grey,Team Epic TV,-,185.0,86.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Chuck Norris,0,Male,-,-,-,,-,178.0,-99.0,50.0,80.0,47.0,56.0,42.0,99.0,374.0
Citizen Steel,0,Male,green,Human,Red,DC Comics,-,183.0,170.0,,,,,,,
Claire Bennet,0,Female,blue,-,Blond,NBC - Heroes,-,-99.0,-99.0,38.0,9.0,12.0,100.0,73.0,28.0,260.0
Clea,0,-,-,-,White,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Cloak,0,Male,brown,-,black,Marvel Comics,-,226.0,70.0,63.0,10.0,47.0,64.0,74.0,56.0,314.0
Clock King,1,Male,blue,Human,Black,DC Comics,-,178.0,78.0,,,,,,,
Cogliostro,1,Male,-,-,-,Image Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Colin Wagner,0,Male,grey,-,Brown,HarperCollins,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Colossal Boy,0,Male,-,-,-,DC Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Colossus,0,Male,silver,Mutant,Black,Marvel Comics,-,226.0,225.0,63.0,83.0,33.0,100.0,46.0,80.0,405.0
Copycat,0,Female,red,Mutant,White,Marvel Comics,blue,183.0,67.0,,,,,,,
Corsair,0,Male,brown,-,Brown,Marvel Comics,-,191.0,79.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Cottonmouth,1,Male,brown,Human,Black,Marvel Comics,-,183.0,99.0,,,,,,,
Crimson Crusader,0,Male,blue,-,Strawberry Blond,Marvel Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Crimson Dynamo,0,Male,brown,-,No Hair,Marvel Comics,-,180.0,104.0,,,,,,,
Crystal,0,Female,green,Inhuman,Red,Marvel Comics,-,168.0,50.0,63.0,16.0,12.0,14.0,57.0,56.0,218.0
Curse,1,Male,-,-,-,Image Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Cy-Gor,1,Male,-,-,-,Image Comics,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Cyborg,0,Male,brown,Cyborg,Black,DC Comics,-,198.0,173.0,75.0,53.0,42.0,85.0,72.0,64.0,391.0
Cyborg Superman,1,Male,blue,Cyborg,Black,DC Comics,-,-99.0,-99.0,75.0,93.0,92.0,100.0,100.0,80.0,540.0
Cyclops,0,Male,brown,Mutant,Brown,Marvel Comics,-,191.0,88.0,75.0,10.0,23.0,42.0,76.0,80.0,306.0
Cypher,0,-,blue,-,Blond,Marvel Comics,-,175.0,68.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Dagger,0,Female,blue,-,Blond,Marvel Comics,-,165.0,52.0,63.0,10.0,35.0,42.0,52.0,70.0,272.0
Danny Cooper,0,Male,brown,-,Blond,HarperCollins,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Daphne Powell,0,Female,-,-,-,ABC Studios,-,-99.0,-99.0,38.0,10.0,8.0,10.0,56.0,10.0,132.0
Daredevil,0,Male,blue,Human,Red,Marvel Comics,-,183.0,90.0,75.0,13.0,27.0,28.0,57.0,95.0,295.0
Darkhawk,0,Male,brown,Human,Brown,Marvel Comics,-,185.0,81.0,50.0,32.0,33.0,70.0,74.0,64.0,323.0
Darkman,0,Male,-,-,-,Universal Studios,-,-99.0,-99.0,75.0,14.0,23.0,85.0,12.0,28.0,237.0
Darkseid,1,Male,red,New God,No Hair,DC Comics,grey,267.0,817.0,88.0,100.0,23.0,100.0,100.0,95.0,506.0
Darkside,1,-,-,-,-,,-,-99.0,-99.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Darkstar,0,Female,brown,Mutant,Blond,Marvel Comics,-,168.0,56.0,38.0,8.0,35.0,42.0,52.0,64.0,239.0
Darth Maul,1,Male,yellow / red,Dathomirian Zabrak,-,George Lucas,red / black,170.0,-99.0,,,,,,,
Darth Vader,1,Male,yellow,Cyborg,No Hair,George Lucas,-,198.0,135.0,,,,,,,
Dash,0,Male,blue,Human,Blond,Dark Horse Comics,-,122.0,27.0,9.0,4.0,83.0,42.0,12.0,28.0,178.0
Data,0,Male,yellow,Android,Brown,Star Trek,-,-99.0,-99.0,,,,,,,
Dazzler,0,Female,blue,Mutant,Blond,Marvel Comics,-,173.0,52.0,63.0,10.0,35.0,42.0,64.0,56.0,270.0
Deadman,0,Male,blue,Human,Black,DC Comics,-,183.0,90.0,50.0,10.0,33.0,100.0,100.0,42.0,335.0
Deadpool,0,Male,brown,Mutant,No Hair,Marvel Comics,-,188.0,95.0,50.0,15.0,30.0,100.0,100.0,100.0,395.0
Deadshot,1,Male,brown,Human,Brown,DC Comics,-,185.0,91.0,50.0,10.0,23.0,28.0,47.0,80.0,238.0
Deathlok,0,Male,brown,Cyborg,Grey,Marvel Comics,-,193.0,178.0,69.0,32.0,30.0,70.0,40.0,60.0,301.0
Deathstroke,0,Male,blue,Human,White,DC Comics,-,193.0,101.0,75.0,30.0,35.0,100.0,36.0,90.0,366.0
Demogoblin,1,Male,red,Demon,No Hair,Marvel Comics,-,185.0,95.0,50.0,48.0,42.0,35.0,54.0,60.0,289.0
Destroyer,1,Male,-,-,-,Marvel Comics,-,188.0,383.0,50.0,95.0,58.0,98.0,90.0,70.0,461.0
Diamondback,1,Male,brown,Human,Black,Marvel Comics,-,193.0,90.0,,,,,,,
DL Hawkins,0,Male,-,-,-,NBC - Heroes,-,-99.0,-99.0,50.0,12.0,12.0,56.0,48.0,56.0,234.0
Doc Samson,0,Male,blue,Human / Radiation,Green,Marvel Comics,-,198.0,171.0,75.0,80.0,33.0,80.0,36.0,70.0,374.0
Doctor Doom,1,Male,brown,Human,Brown,Marvel Comics,-,201.0,187.0,100.0,32.0,20.0,100.0,93.0,84.0,429.0
Doctor Doom II,1,Male,brown,-,Brown,Marvel Comics,-,201.0,132.0,1.0,32.0,1.0,1.0,0.0,1.0,36.0
Doctor Fate,0,Male,blue,Human,Blond,DC Comics,-,188.0,89.0,81.0,16.0,25.0,80.0,100.0,50.0,352.0
Doctor Octopus,1,Male,brown,Human,Brown,Marvel Comics,-,175.0,110.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
Doctor Strange,0,Male,grey,Human,Black,Marvel Comics,-,188.0,81.0,100.0,10.0,12.0,84.0,100.0,60.0,366.0
