,Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat,Total
19,Amazo,1,Male,red,Android,1,DC Comics,1,257.0,173.0,,,,,,,
20,Ammo,1,Male,brown,Human,Black,Marvel Comics,1,188.0,101.0,,,,,,,
21,Ando Masahashi,0,Male,1,1,1,NBC - Heroes,1,-99.0,-99.0,,,,,,,
22,Angel,0,Male,blue,1,Blond,Marvel Comics,1,183.0,68.0,,,,,,,
24,Angel Dust,0,Female,yellow,Mutant,Black,Marvel Comics,1,165.0,57.0,,,,,,,
25,Angel Salvadore,0,Female,brown,1,Black,Marvel Comics,1,163.0,54.0,,,,,,,
26,Angela,1,Female,1,1,1,Image Comics,1,-99.0,-99.0,,,,,,,
27,Animal Man,0,Male,blue,Human,Blond,DC Comics,1,183.0,83.0,,,,,,,
28,Annihilus,1,Male,green,1,No Hair,Marvel Comics,1,180.0,90.0,,,,,,,
29,Ant-Man,0,Male,blue,Human,Blond,Marvel Comics,1,211.0,122.0,,,,,,,
30,Ant-Man II,0,Male,blue,Human,Blond,Marvel Comics,1,183.0,86.0,,,,,,,
31,Anti-Monitor,1,Male,yellow,God / Eternal,No Hair,DC Comics,1,61.0,-99.0,,,,,,,
32,Anti-Spawn,1,Male,1,1,1,Image Comics,1,-99.0,-99.0,,,,,,,
33,Anti-Venom,1,Male,blue,Symbiote,Blond,Marvel Comics,1,229.0,358.0,,,,,,,
34,Apocalypse,1,Male,red,Mutant,Black,Marvel Comics,grey,213.0,135.0,,,,,,,
35,Aquababy,0,Male,blue,1,Blond,DC Comics,1,-99.0,-99.0,,,,,,,
36,Aqualad,0,Male,blue,Atlantean,Black,DC Comics,1,178.0,106.0,,,,,,,
37,Aquaman,0,Male,blue,Atlantean,Blond,DC Comics,1,185.0,146.0,,,,,,,
38,Arachne,0,Female,blue,Human,Blond,Marvel Comics,1,175.0,63.0,,,,,,,
39,Archangel,0,Male,blue,Mutant,Blond,Marvel Comics,blue,183.0,68.0,,,,,,,
40,Arclight,1,Female,violet,1,Purple,Marvel Comics,1,173.0,57.0,,,,,,,
41,Ardina,0,Female,white,Alien,Orange,Marvel Comics,gold,193.0,98.0,,,,,,,
42,Ares,0,Male,brown,1,Brown,Marvel Comics,1,185.0,270.0,,,,,,,
43,Ariel,0,Female,purple,1,Pink,Marvel Comics,1,165.0,59.0,,,,,,,
44,Armor,0,Female,black,1,Black,Marvel Comics,1,163.0,50.0,,,,,,,
45,Arsenal,0,Male,1,Human,1,DC Comics,1,-99.0,-99.0,,,,,,,
46,Astro Boy,0,Male,brown,1,Black,,1,-99.0,-99.0,,,,,,,
47,Atlas,0,Male,brown,Mutant,Red,Marvel Comics,1,183.0,101.0,,,,,,,
49,Atom,0,Male,blue,1,Red,DC Comics,1,178.0,68.0,,,,,,,
51,Atom Girl,0,Female,black,1,Black,DC Comics,1,168.0,54.0,,,,,,,
52,Atom II,0,Male,brown,Human,Auburn,DC Comics,1,183.0,81.0,,,,,,,
53,Atom III,0,Male,1,1,Red,DC Comics,1,-99.0,-99.0,,,,,,,
54,Atom IV,0,Male,brown,1,Black,DC Comics,1,-99.0,72.0,,,,,,,
55,Aurora,0,Female,blue,Mutant,Black,Marvel Comics,1,180.0,63.0,,,,,,,
56,Azazel,1,Male,yellow,Neyaphem,Black,Marvel Comics,red,183.0,67.0,,,,,,,
57,Azrael,0,Male,brown,Human,Black,DC Comics,1,-99.0,-99.0,,,,,,,
58,Aztar,0,Male,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
59,Bane,1,Male,1,Human,1,DC Comics,1,203.0,180.0,,,,,,,
60,Banshee,0,Male,green,Human,Strawberry Blond,Marvel Comics,1,183.0,77.0,,,,,,,
61,Bantam,0,Male,brown,1,Black,Marvel Comics,1,165.0,54.0,,,,,,,
62,Batgirl,0,Female,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
64,Batgirl III,0,Female,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
65,Batgirl IV,0,Female,green,Human,Black,DC Comics,1,165.0,52.0,,,,,,,
66,Batgirl V,0,Female,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
67,Batgirl VI,0,Female,blue,1,Blond,DC Comics,1,168.0,61.0,,,,,,,
68,Batman,0,Male,blue,Human,black,DC Comics,1,188.0,95.0,,,,,,,
70,Batman II,0,Male,blue,Human,Black,DC Comics,1,178.0,79.0,,,,,,,
71,Battlestar,0,Male,brown,1,Black,Marvel Comics,1,198.0,133.0,,,,,,,
72,Batwoman V,0,Female,green,Human,Red,DC Comics,1,178.0,-99.0,,,,,,,
73,Beak,0,Male,black,1,White,Marvel Comics,1,175.0,63.0,,,,,,,
74,Beast,0,Male,blue,Mutant,Blue,Marvel Comics,blue,180.0,181.0,,,,,,,
75,Beast Boy,0,Male,green,Human,Green,DC Comics,green,173.0,68.0,,,,,,,
76,Beetle,1,Male,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
77,Ben 10,0,Male,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
78,Beta Ray Bill,0,Male,1,1,No Hair,Marvel Comics,1,201.0,216.0,,,,,,,
79,Beyonder,0,Male,1,God / Eternal,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
80,Big Barda,1,Female,blue,New God,Black,DC Comics,1,188.0,135.0,,,,,,,
81,Big Daddy,0,Male,1,1,1,Icon Comics,1,-99.0,-99.0,,,,,,,
82,Big Man,1,Male,blue,1,Brown,Marvel Comics,1,165.0,71.0,,,,,,,
83,Bill Harken,0,Male,1,Alpha,1,SyFy,1,-99.0,-99.0,,,,,,,
84,Billy Kincaid,1,Male,1,1,1,Image Comics,1,-99.0,-99.0,,,,,,,
85,Binary,0,Female,blue,1,Blond,Marvel Comics,1,180.0,54.0,,,,,,,
86,Bionic Woman,0,Female,blue,Cyborg,Black,,1,-99.0,-99.0,,,,,,,
87,Bird-Brain,0,1,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
88,Bird-Man,1,Male,1,Human,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
89,Bird-Man II,1,Male,1,Human,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
90,Birdman,0,Male,1,God / Eternal,1,Hanna-Barbera,1,-99.0,-99.0,,,,,,,
91,Bishop,0,Male,brown,Mutant,No Hair,Marvel Comics,1,198.0,124.0,,,,,,,
92,Bizarro,1,Male,black,Bizarro,Black,DC Comics,white,191.0,155.0,,,,,,,
93,Black Abbott,1,Male,red,1,Black,Marvel Comics,1,-99.0,-99.0,,,,,,,
94,Black Adam,1,Male,brown,1,Black,DC Comics,1,191.0,113.0,,,,,,,
95,Black Bolt,0,Male,blue,Inhuman,Black,Marvel Comics,1,188.0,95.0,,,,,,,
96,Black Canary,0,Female,blue,Human,Blond,DC Comics,1,165.0,58.0,,,,,,,
98,Black Cat,0,Female,green,Human,Blond,Marvel Comics,1,178.0,54.0,,,,,,,
99,Black Flash,1,Male,1,God / Eternal,1,DC Comics,1,-99.0,-99.0,,,,,,,
100,Black Goliath,0,Male,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
101,Black Knight III,0,Male,brown,Human,Brown,Marvel Comics,1,183.0,86.0,,,,,,,
102,Black Lightning,0,Male,brown,1,No Hair,DC Comics,1,185.0,90.0,,,,,,,
103,Black Mamba,1,Female,green,1,Black,Marvel Comics,1,170.0,52.0,,,,,,,
104,Black Manta,1,Male,black,Human,No Hair,DC Comics,1,188.0,92.0,,,,,,,
105,Black Panther,0,Male,brown,Human,Black,Marvel Comics,1,183.0,90.0,,,,,,,
106,Black Widow,0,Female,green,Human,Auburn,Marvel Comics,1,170.0,59.0,,,,,,,
107,Black Widow II,0,Female,blue,1,Blond,Marvel Comics,1,170.0,61.0,,,,,,,
108,Blackout,1,Male,red,Demon,White,Marvel Comics,white,191.0,104.0,,,,,,,
109,Blackwing,1,Male,blue,1,Black,Marvel Comics,1,185.0,86.0,,,,,,,
110,Blackwulf,1,Male,red,Alien,White,Marvel Comics,1,188.0,88.0,,,,,,,
111,Blade,0,Male,brown,Vampire,Black,Marvel Comics,1,188.0,97.0,,,,,,,
112,Blaquesmith,0,1,black,1,No Hair,Marvel Comics,1,-99.0,-99.0,,,,,,,
113,Bling!,0,Female,1,1,1,Marvel Comics,1,168.0,68.0,,,,,,,
114,Blink,0,Female,green,Mutant,Magenta,Marvel Comics,pink,165.0,56.0,,,,,,,
115,Blizzard,1,Male,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
117,Blizzard II,1,Male,brown,1,Brown,Marvel Comics,1,175.0,77.0,,,,,,,
118,Blob,1,Male,brown,1,Brown,Marvel Comics,1,178.0,230.0,,,,,,,
119,Bloodaxe,1,Female,blue,Human,Brown,Marvel Comics,1,218.0,495.0,,,,,,,
120,Bloodhawk,0,Male,black,Mutant,No Hair,Marvel Comics,1,-99.0,-99.0,,,,,,,
121,Bloodwraith,1,Male,white,1,No Hair,Marvel Comics,1,30.5,-99.0,,,,,,,
122,Blue Beetle,0,Male,blue,1,Brown,DC Comics,1,-99.0,-99.0,,,,,,,
124,Blue Beetle II,0,Male,blue,1,Brown,DC Comics,1,183.0,86.0,,,,,,,
125,Blue Beetle III,0,Male,brown,Human,Black,DC Comics,1,-99.0,-99.0,,,,,,,
126,Boba Fett,1,Male,brown,Human / Clone,Black,George Lucas,1,183.0,-99.0,,,,,,,
127,Bolt,0,Male,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
128,Bomb Queen,1,Female,1,1,1,Image Comics,1,-99.0,-99.0,,,,,,,
129,Boom-Boom,0,Female,blue,Mutant,Blond,Marvel Comics,1,165.0,55.0,,,,,,,
130,Boomer,0,Female,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
131,Booster Gold,0,Male,blue,Human,Blond,DC Comics,1,196.0,97.0,,,,,,,
132,Box,0,Male,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
133,Box III,0,1,blue,1,Blond,Marvel Comics,1,193.0,110.0,,,,,,,
134,Box IV,0,1,brown,1,Brown / Black,Marvel Comics,1,-99.0,-99.0,,,,,,,
135,Brainiac,1,Male,green,Android,No Hair,DC Comics,green,198.0,135.0,,,,,,,
136,Brainiac 5,0,Male,green,1,Blond,DC Comics,1,170.0,61.0,,,,,,,
137,Brother Voodoo,0,Male,brown,Human,Brown / White,Marvel Comics,1,183.0,99.0,,,,,,,
138,Brundlefly,1,Male,1,Mutant,1,,1,193.0,-99.0,,,,,,,
139,Buffy,0,Female,green,Human,Blond,Dark Horse Comics,1,157.0,52.0,,,,,,,
140,Bullseye,1,Male,blue,Human,blond,Marvel Comics,1,183.0,90.0,,,,,,,
141,Bumblebee,0,Female,brown,Human,Black,DC Comics,1,170.0,59.0,,,,,,,
142,Bumbleboy,0,Male,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
143,Bushido,0,Male,1,Human,1,DC Comics,1,-99.0,-99.0,,,,,,,
144,Cable,0,Male,blue,Mutant,White,Marvel Comics,1,203.0,158.0,,,,,,,
145,Callisto,1,Female,blue,1,Black,Marvel Comics,1,175.0,74.0,,,,,,,
146,Cameron Hicks,0,Male,1,Alpha,1,SyFy,1,-99.0,-99.0,,,,,,,
147,Cannonball,0,Male,blue,1,Blond,Marvel Comics,1,183.0,81.0,,,,,,,
148,Captain America,0,Male,blue,Human,blond,Marvel Comics,1,188.0,108.0,,,,,,,
149,Captain Atom,0,Male,blue,Human / Radiation,Silver,DC Comics,silver,193.0,90.0,,,,,,,
150,Captain Britain,0,Male,blue,Human,Blond,Marvel Comics,1,198.0,116.0,,,,,,,
151,Captain Cold,1,Male,brown,Human,Brown,DC Comics,1,-99.0,-99.0,,,,,,,
152,Captain Epic,0,Male,blue,1,Brown,Team Epic TV,1,188.0,-99.0,,,,,,,
153,Captain Hindsight,0,Male,1,Human,Black,South Park,1,-99.0,-99.0,,,,,,,
154,Captain Mar-vell,0,Male,blue,1,Blond,Marvel Comics,1,188.0,108.0,,,,,,,
155,Captain Marvel,0,Female,blue,Human-Kree,Blond,Marvel Comics,1,180.0,74.0,,,,,,,
157,Captain Marvel II,0,Male,blue,Human,Black,DC Comics,1,175.0,74.0,,,,,,,
158,Captain Midnight,0,Male,1,Human,1,Dark Horse Comics,1,-99.0,-99.0,,,,,,,
159,Captain Planet,0,Male,red,God / Eternal,Green,Marvel Comics,1,-99.0,-99.0,,,,,,,
160,Captain Universe,0,1,1,God / Eternal,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
161,Carnage,1,Male,green,Symbiote,Red,Marvel Comics,1,185.0,86.0,,,,,,,
162,Cat,0,Female,blue,1,Blond,Marvel Comics,1,173.0,61.0,,,,,,,
163,Cat II,0,Female,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
164,Catwoman,0,Female,green,Human,Black,DC Comics,1,175.0,61.0,,,,,,,
165,Cecilia Reyes,0,1,brown,1,Brown,Marvel Comics,1,170.0,62.0,,,,,,,
166,Century,0,Male,white,Alien,White,Marvel Comics,grey,201.0,97.0,,,,,,,
167,Cerebra,0,Female,1,Mutant,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
168,Chamber,0,Male,brown,Mutant,Brown,Marvel Comics,1,175.0,63.0,,,,,,,
169,Chameleon,1,Male,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
170,Changeling,1,Male,brown,1,Black,Marvel Comics,1,180.0,81.0,,,,,,,
171,Cheetah,1,Female,green,Human,Blond,DC Comics,1,163.0,50.0,,,,,,,
172,Cheetah II,1,Female,green,Human,Brown,DC Comics,1,170.0,55.0,,,,,,,
173,Cheetah III,1,Female,brown,Human,Brown,DC Comics,1,175.0,54.0,,,,,,,
174,Chromos,1,Male,brown,1,Red / Grey,Team Epic TV,1,185.0,86.0,,,,,,,
175,Chuck Norris,0,Male,1,1,1,,1,178.0,-99.0,,,,,,,
176,Citizen Steel,0,Male,green,Human,Red,DC Comics,1,183.0,170.0,,,,,,,
177,Claire Bennet,0,Female,blue,1,Blond,NBC - Heroes,1,-99.0,-99.0,,,,,,,
178,Clea,0,1,1,1,White,Marvel Comics,1,-99.0,-99.0,,,,,,,
179,Cloak,0,Male,brown,1,black,Marvel Comics,1,226.0,70.0,,,,,,,
180,Clock King,1,Male,blue,Human,Black,DC Comics,1,178.0,78.0,,,,,,,
181,Cogliostro,1,Male,1,1,1,Image Comics,1,-99.0,-99.0,,,,,,,
182,Colin Wagner,0,Male,grey,1,Brown,HarperCollins,1,-99.0,-99.0,,,,,,,
183,Colossal Boy,0,Male,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
184,Colossus,0,Male,silver,Mutant,Black,Marvel Comics,1,226.0,225.0,,,,,,,
185,Copycat,1,Female,red,Mutant,White,Marvel Comics,blue,183.0,67.0,,,,,,,
186,Corsair,0,Male,brown,1,Brown,Marvel Comics,1,191.0,79.0,,,,,,,
187,Cottonmouth,1,Male,brown,Human,Black,Marvel Comics,1,183.0,99.0,,,,,,,
188,Crimson Crusader,0,Male,blue,1,Strawberry Blond,Marvel Comics,1,-99.0,-99.0,,,,,,,
189,Crimson Dynamo,0,Male,brown,1,No Hair,Marvel Comics,1,180.0,104.0,,,,,,,
190,Crystal,0,Female,green,Inhuman,Red,Marvel Comics,1,168.0,50.0,,,,,,,
191,Curse,1,Male,1,1,1,Image Comics,1,-99.0,-99.0,,,,,,,
192,Cy-Gor,1,Male,1,1,1,Image Comics,1,-99.0,-99.0,,,,,,,
193,Cyborg,0,Male,brown,Cyborg,Black,DC Comics,1,198.0,173.0,,,,,,,
194,Cyborg Superman,1,Male,blue,Cyborg,Black,DC Comics,1,-99.0,-99.0,,,,,,,
195,Cyclops,0,Male,brown,Mutant,Brown,Marvel Comics,1,191.0,88.0,,,,,,,
196,Cypher,0,1,blue,1,Blond,Marvel Comics,1,175.0,68.0,,,,,,,
197,Dagger,0,Female,blue,1,Blond,Marvel Comics,1,165.0,52.0,,,,,,,
198,Danny Cooper,0,Male,brown,1,Blond,HarperCollins,1,-99.0,-99.0,,,,,,,
199,Daphne Powell,0,Female,1,1,1,ABC Studios,1,-99.0,-99.0,,,,,,,
200,Daredevil,0,Male,blue,Human,Red,Marvel Comics,1,183.0,90.0,,,,,,,
201,Darkhawk,0,Male,brown,Human,Brown,Marvel Comics,1,185.0,81.0,,,,,,,
202,Darkman,0,Male,1,1,1,Universal Studios,1,-99.0,-99.0,,,,,,,
203,Darkseid,1,Male,red,New God,No Hair,DC Comics,grey,267.0,817.0,,,,,,,
204,Darkside,1,1,1,1,1,,1,-99.0,-99.0,,,,,,,
205,Darkstar,0,Female,brown,Mutant,Blond,Marvel Comics,1,168.0,56.0,,,,,,,
206,Darth Maul,1,Male,yellow / red,Dathomirian Zabrak,1,George Lucas,red / black,170.0,-99.0,,,,,,,
207,Darth Vader,1,Male,yellow,Cyborg,No Hair,George Lucas,1,198.0,135.0,,,,,,,
208,Dash,0,Male,blue,Human,Blond,Dark Horse Comics,1,122.0,27.0,,,,,,,
209,Data,0,Male,yellow,Android,Brown,Star Trek,1,-99.0,-99.0,,,,,,,
210,Dazzler,0,Female,blue,Mutant,Blond,Marvel Comics,1,173.0,52.0,,,,,,,
211,Deadman,0,Male,blue,Human,Black,DC Comics,1,183.0,90.0,,,,,,,
212,Deadpool,1,Male,brown,Mutant,No Hair,Marvel Comics,1,188.0,95.0,,,,,,,
213,Deadshot,1,Male,brown,Human,Brown,DC Comics,1,185.0,91.0,,,,,,,
214,Deathlok,0,Male,brown,Cyborg,Grey,Marvel Comics,1,193.0,178.0,,,,,,,
215,Deathstroke,1,Male,blue,Human,White,DC Comics,1,193.0,101.0,,,,,,,
216,Demogoblin,1,Male,red,Demon,No Hair,Marvel Comics,1,185.0,95.0,,,,,,,
217,Destroyer,1,Male,1,1,1,Marvel Comics,1,188.0,383.0,,,,,,,
218,Diamondback,1,Male,brown,Human,Black,Marvel Comics,1,193.0,90.0,,,,,,,
219,DL Hawkins,0,Male,1,1,1,NBC - Heroes,1,-99.0,-99.0,,,,,,,
220,Doc Samson,0,Male,blue,Human / Radiation,Green,Marvel Comics,1,198.0,171.0,,,,,,,
221,Doctor Doom,1,Male,brown,Human,Brown,Marvel Comics,1,201.0,187.0,,,,,,,
222,Doctor Doom II,1,Male,brown,1,Brown,Marvel Comics,1,201.0,132.0,,,,,,,
223,Doctor Fate,0,Male,blue,Human,Blond,DC Comics,1,188.0,89.0,,,,,,,
224,Doctor Octopus,1,Male,brown,Human,Brown,Marvel Comics,1,175.0,110.0,,,,,,,
225,Doctor Strange,0,Male,grey,Human,Black,Marvel Comics,1,188.0,81.0,,,,,,,
226,Domino,0,Female,blue,Human,Black,Marvel Comics,white,173.0,54.0,,,,,,,
227,Donatello,0,Male,green,Mutant,No Hair,IDW Publishing,green,-99.0,-99.0,,,,,,,
228,Donna Troy,0,Female,blue,Amazon,Black,DC Comics,1,175.0,63.0,,,,,,,
229,Doomsday,1,Male,red,Alien,White,DC Comics,1,244.0,412.0,,,,,,,
230,Doppelganger,1,Male,white,1,No Hair,Marvel Comics,1,196.0,104.0,,,,,,,
231,Dormammu,1,Male,yellow,1,No Hair,Marvel Comics,1,185.0,-99.0,,,,,,,
232,Dr Manhattan,0,Male,white,Human / Cosmic,No Hair,DC Comics,blue,-99.0,-99.0,,,,,,,
233,Drax the Destroyer,0,Male,red,Human / Altered,No Hair,Marvel Comics,green,193.0,306.0,,,,,,,
234,Ego,1,1,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
235,Elastigirl,0,Female,brown,Human,Brown,Dark Horse Comics,1,168.0,56.0,,,,,,,
236,Electro,1,Male,blue,Human,Auburn,Marvel Comics,1,180.0,74.0,,,,,,,
237,Elektra,0,Female,blue,Human,Black,Marvel Comics,1,175.0,59.0,,,,,,,
238,Elle Bishop,1,Female,blue,1,Blond,NBC - Heroes,1,-99.0,-99.0,,,,,,,
239,Elongated Man,0,Male,blue,1,Red,DC Comics,1,185.0,80.0,,,,,,,
240,Emma Frost,0,Female,blue,1,Blond,Marvel Comics,1,178.0,65.0,,,,,,,
241,Enchantress,0,Female,blue,Human,Blond,DC Comics,1,168.0,57.0,,,,,,,
242,Energy,0,Female,1,1,1,HarperCollins,1,-99.0,-99.0,,,,,,,
243,ERG-1,0,Male,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
244,Ethan Hunt,0,Male,brown,Human,Brown,,1,168.0,-99.0,,,,,,,
245,Etrigan,1,Male,red,Demon,No Hair,DC Comics,yellow,193.0,203.0,,,,,,,
246,Evil Deadpool,1,Male,white,Mutant,Red,Marvel Comics,1,188.0,95.0,,,,,,,
247,Evilhawk,1,Male,red,Alien,Black,Marvel Comics,green,191.0,106.0,,,,,,,
248,Exodus,1,Male,blue,Mutant,Black,Marvel Comics,red,183.0,88.0,,,,,,,
249,Fabian Cortez,1,1,blue,1,Brown,Marvel Comics,1,196.0,96.0,,,,,,,
250,Falcon,0,Male,brown,Human,Black,Marvel Comics,1,188.0,108.0,,,,,,,
251,Fallen One II,1,Male,black,1,Blue,Marvel Comics,1,-99.0,-99.0,,,,,,,
252,Faora,1,Female,1,Kryptonian,1,DC Comics,1,-99.0,-99.0,,,,,,,
253,Feral,0,1,yellow (without irises),1,Orange / White,Marvel Comics,1,175.0,50.0,,,,,,,
254,Fighting Spirit,0,Female,1,1,Red,DC Comics,1,-99.0,-99.0,,,,,,,
255,Fin Fang Foom,0,Male,red,Kakarantharaian,No Hair,Marvel Comics,green,975.0,18.0,,,,,,,
256,Firebird,0,Female,brown,1,Black,Marvel Comics,1,165.0,56.0,,,,,,,
257,Firelord,0,1,white,1,Yellow,Marvel Comics,1,193.0,99.0,,,,,,,
258,Firestar,0,Female,green,Mutant,Red,Marvel Comics,1,173.0,56.0,,,,,,,
259,Firestorm,0,Male,brown,1,Black,DC Comics,1,-99.0,-99.0,,,,,,,
261,Fixer,1,1,red,1,No Hair,Marvel Comics,1,-99.0,-99.0,,,,,,,
262,Flash,0,Male,blue,Human,Brown / White,DC Comics,1,180.0,81.0,,,,,,,
263,Flash Gordon,0,Male,1,1,1,,1,-99.0,-99.0,,,,,,,
264,Flash II,0,Male,blue,Human,Blond,DC Comics,1,183.0,88.0,,,,,,,
265,Flash III,0,Male,1,Human,1,DC Comics,1,183.0,86.0,,,,,,,
266,Flash IV,0,Male,yellow,Human,Auburn,DC Comics,1,157.0,52.0,,,,,,,
267,Forge,0,1,brown,1,Black,Marvel Comics,1,183.0,81.0,,,,,,,
268,Franklin Richards,0,Male,blue,Mutant,Blond,Marvel Comics,1,142.0,45.0,,,,,,,
269,Franklin Storm,0,1,blue,1,Grey,Marvel Comics,1,188.0,92.0,,,,,,,
270,Frenzy,1,Female,brown,1,Black,Marvel Comics,1,211.0,104.0,,,,,,,
271,Frigga,0,Female,blue,1,White,Marvel Comics,1,180.0,167.0,,,,,,,
272,Galactus,1,Male,black,Cosmic Entity,Black,Marvel Comics,1,876.0,16.0,,,,,,,
273,Gambit,0,Male,red,Mutant,Brown,Marvel Comics,1,185.0,81.0,,,,,,,
274,Gamora,0,Female,yellow,Zen-Whoberian,Black,Marvel Comics,green,183.0,77.0,,,,,,,
275,Garbage Man,0,Male,1,Mutant,1,DC Comics,1,-99.0,-99.0,,,,,,,
276,Gary Bell,0,Male,1,Alpha,1,SyFy,1,-99.0,-99.0,,,,,,,
277,General Zod,1,Male,black,Kryptonian,Black,DC Comics,1,-99.0,-99.0,,,,,,,
278,Genesis,0,Male,blue,1,Blond,Marvel Comics,1,185.0,86.0,,,,,,,
279,Ghost Rider,0,Male,red,Demon,No Hair,Marvel Comics,1,188.0,99.0,,,,,,,
280,Ghost Rider II,0,1,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
281,Giant-Man,0,Male,1,Human,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
282,Giant-Man II,0,Male,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
283,Giganta,1,Female,green,1,Red,DC Comics,1,62.5,630.0,,,,,,,
284,Gladiator,1,Male,blue,Strontian,Blue,Marvel Comics,purple,198.0,268.0,,,,,,,
285,Goblin Queen,1,Female,green,1,Red,Marvel Comics,1,168.0,50.0,,,,,,,
286,Godzilla,1,1,1,Kaiju,1,,grey,108.0,,,,,,,,
287,Gog,1,Male,1,1,1,DC Comics,1,-99.0,-99.0,,,,,,,
288,Goku,0,Male,1,Saiyan,1,Shueisha,1,175.0,62.0,,,,,,,
289,Goliath,0,Male,1,1,1,Marvel Comics,1,-99.0,-99.0,,,,,,,
292,Goliath IV,0,Male,brown,1,Black,Marvel Comics,1,183.0,90.0,,,,,,,
293,Gorilla Grodd,1,Male,yellow,Gorilla,Black,DC Comics,1,198.0,270.0,,,,,,,
294,Granny Goodness,1,Female,blue,1,White,DC Comics,1,178.0,115.0,,,,,,,
295,Gravity,0,Male,blue,Human,Brown,Marvel Comics,1,178.0,79.0,,,,,,,
296,Greedo,1,Male,purple,Rodian,1,George Lucas,green,170.0,-99.0,,,,,,,
297,Green Arrow,0,Male,green,Human,Blond,DC Comics,1,188.0,88.0,,,,,,,
298,Green Goblin,1,Male,blue,Human,Auburn,Marvel Comics,1,180.0,83.0,,,,,,,
299,Green Goblin II,1,Male,blue,1,Auburn,Marvel Comics,1,178.0,77.0,,,,,,,
300,Green Goblin III,0,Male,1,1,1,Marvel Comics,1,183.0,88.0,,,,,,,
301,Green Goblin IV,0,Male,green,1,Brown,Marvel Comics,1,178.0,79.0,,,,,,,
302,Groot,0,Male,yellow,Flora Colossus,1,Marvel Comics,1,701.0,4.0,,,,,,,
